index,path,symbol,coin_name,UCID,key_derivation,xprv_priv_header,xprv_pub_header,pub_key_hash,script_hash,wif,main_version_byte,test_version_bytes,evm,comment,status,level
57,0x80000039,SYS,Syscoin,541,secp256k1,0x0488ADE4,0x0488B21E,0x3f,0x05,0x80,,,FALSE,,,1
58,0x8000003a,SLR,Solarcoin,,,0x0488ADE4,0x0488B21E,0x12,0x05,0x92,,,FALSE,,,1
59,0x8000003b,SMLY,Smileycoin,,,0x1E5631BC,0x1E562D9A,0x19,0x05,0x05,,,FALSE,,,1
60,0x8000003c,ETH,Ethereum,1027,keccak256,0x0488ADE4,0x0488B21E,,,,,,TRUE,,,1
61,0x8000003d,ETC,Ethereum Classic,1321,keccak256,0x0488ADE4,0x0488B21E,,,,,,TRUE,,,1
62,0x8000003e,PSB,Pesobit,,,0x0488ADE4,0x0488B21E,0x37,0x55,0xb7,,,,,,1
63,0x8000003f,LDCN,Landcoin,,,0x0488ADE4,0x0488B21E,0x30,0x7a,0x7a,,,,,,1
64,0x80000040,OC,Open Chain,,,,,,,,,,,,,1
65,0x80000041,XBC,Bitcoin Plus,293,,0x0488ADE4,0x0488B21E,0x19,0x08,0x99,,,,,,1
66,0x80000042,IOP,Internet of People,,,0xAE3416F6,0x2780915F,0x75,0xae,0x31,,,,,,1
67,0x80000043,NXS,Nexus,,,,,,,,,,,,,1
68,0x80000044,INSN,InsaneCoin,1678,,0x0488ADE4,0x0488B21E,0x66,0x39,0x37,,,,,,1
69,0x80000045,OK,OKCash,760,,0x03CC1C73,0x03CC23D7,0x37,0x1c,0x03,,,,,,1
70,0x80000046,BRIT,BritCoin,,,0x0488ADE4,0x0488B21E,0x19,0x55,0x99,,,,,,1
71,0x80000047,CMP,Compcoin,,,0x0488ADE4,0x0488B21E,0x1c,0x55,0x9c,,,,,,1
72,0x80000048,CRW,Crown,720,,0x0488ADE4,0x0488B21E,0x00,0x05,0x80,,,,,,1
73,0x80000049,BELA,BelaCoin,,,0x0488ADE4,0x0488B21E,0x19,0x05,0x99,,,,,,1
74,0x8000004a,ICX,ICON,2099,,,,,,,,,,,,1
75,0x8000004b,FJC,FujiCoin,,,0x0488ADE4,0x0488B21E,0x24,0x10,0xa4,,,,,,1
76,0x8000004c,MIX,MIX,,,,,,,,,,,,,1
77,0x8000004d,XVG,Verge,693,,0x0488ADE4,0x0488B21E,0x1e,0x21,0x9e,,,,,,1
78,0x8000004e,EFL,Electronic Gulden,,,0x0488ADE4,0x0488B21E,0x30,0x05,0xb0,,,,,,1
79,0x8000004f,CLUB,ClubCoin,1135,,0x0488ADE4,0x0488B21E,0x1c,0x55,0x99,,,,,,1
80,0x80000050,RICHX,RichCoin,,,,,,,,,,,,,1
81,0x80000051,POT,Potcoin,122,,0x0488ADE4,0x0488B21E,0x37,0x05,0xb7,,,,,,1
82,0x80000052,QRK,Quarkcoin,,,,,,,,,,,,,1
83,0x80000053,TRC,Terracoin,,,,,,,,,,,,,1
