status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,UCID,cmc_top
,43,XEM,NEM,,,,,,,,,873,
,44,PART,Particl,,,0x8F1DAEB8,0x696E82D1,0x38,0x3c,0x6c,,1826,
,45,ARG,Argentum (dead),,,,,,,,,,
,46,LIBERTAS,Libertas,,,,,,,,,,
,47,POSW,Posw coin,,,,,0x37,0x55,0xb7,,1495,
,48,SHR,Shreeji,,,,,,,,,,
,49,GCR,Global Currency Reserve (GCRcoin),,,,,0x26,0x61,0x9a,,,
,50,NVC,Novacoin,,,,,0x08,0x14,0x88,,6,
🟢,51,AC,Asiacoin,secp256k1,sha256,,,0x17,0x08,0x97,,,
,52,BTCD,BitcoinDark,,,,,,,,,,
,53,DOPE,Dopecoin,,,,,,,,,145,
,54,TPC,Templecoin,,,,,,,,,,
,55,AIB,AIB,,,,,,,,,,
,56,EDRC,EDRCoin,,,,,0x5d,0x1c,0xdd,,1216,
,57,SYS,Syscoin,,,,,0x3f,,,TRUE,541,
,58,SLR,Solarcoin,,,,,0x12,,0x92,,,
,59,SMLY,Smileycoin,,,0x1E5631BC,0x1E562D9A,0x19,,0x05,,,
,62,PSB,Pesobit,,,,,0x37,0x55,0xb7,,,
,63,LDCN,Landcoin (dead),,,,,0x30,0x7a,0x7a,,,
,64,,Open Chain,,,,,,,,,,
,65,XBC,Bitcoinplus,,,,,0x19,0x08,0x99,,293,
,66,IOP,Internet of People,,,0xAE3416F6,0x2780915F,0x75,0xae,0x31,,,
,67,NXS,Nexus,,,,,,,,,,
,68,INSN,InsaneCoin,,,,,0x66,0x39,0x37,,1678,
,69,OK,OKCash,,,0x03CC1C73,0x03CC23D7,0x37,0x1c,0x03,,760,
,70,BRIT,BritCoin,,,,,0x19,0x55,0x99,,,
,71,CMP,Compcoin,,,,,0x1c,0x55,0x9c,,,
,72,CRW,Crown,,,,,,,,,720,
,73,BELA,BelaCoin,,,,,0x19,,0x99,,,
,74,ICX,ICON,,,,,,,,,2099,
,75,FJC,FujiCoin,,,,,0x24,0x10,0xa4,,,
,76,MIX,MIX,,,,,,,,,,
,77,XVG,Verge Currency,,,,,0x1e,0x21,0x9e,,693,
,78,EFL,Electronic Gulden,,,,,0x30,,0xb0,,,
,79,CLUB,ClubCoin,,,,,0x1c,0x55,0x99,,1135,
,80,RICHX,RichCoin,,,,,,,,,,
,81,POT,Potcoin,,,,,0x37,,0xb7,,122,
,82,QRK,Quarkcoin,,,,,,,,,,
,83,TRC,Terracoin,,,,,,,,,,
,84,GRC,Gridcoin,,,,,0x3e,0x55,0xbe,,,
,85,AUR,Auroracoin,,,,,0x17,,0x97,,148,
,86,IXC,IXCoin,,,,,0x8a,,0x05,,13,
,87,NLG,Gulden,,,,,0x26,0x62,0x62,,,
,88,BITB,BitBean,,,,,,,,,819,
,89,BTA,Bata,,,0xA40B91BD,0xA40C86FA,0x19,,0xa4,,945,
,90,XMY,Myriadcoin,,,,,0x32,0x09,0xb2,,,
,91,BSD,BitSend,,,,,0x66,,0xcc,,,
,92,UNO,Unobtanium,,,,,0x82,0x1e,0xe0,,67,
,93,MTR,MasterTrader,,,,,,,,,,
,94,GB,GoldBlocks,,,,,,,,,1285,
,95,SHM,Saham,,,,,,,,,,
,96,CRX,Chronos,,,,,,,,,,
,97,BIQ,Ubiquoin,,,,,,,,,,
,98,EVO,Evotion,,,,,,,,,,
,99,STO,SaveTheOcean,,,,,,,,,,
,100,BIGUP,BigUp,,,,,,,,,,
,101,GAME,GameCredits,,,,,0x26,,0xa6,,,
,102,DLC,Dollarcoins,,,,,,,,,,
,103,ZYD,Zayedcoin,,,,,,,,,,
,104,DBIC,Dubaicoin,,,,,,,,,,
,105,STRAT,Stratis,,,,,0x3f,0x7d,0xbf,,,
,106,SH,Shilling,,,,,,,,,,
,107,MARS,MarsCoin,,,,,,,,,,
,108,UBQ,Ubiq,,,,,,,,,,
,109,PTC,Pesetacoin,,,,,,,,,,
,110,NRO,Neurocoin,,,,,0x35,0x75,0xb5,,,
,111,ARK,ARK,,,,,,,,,,
,112,USC,UltimateSecureCashMain,,,0xEE8031E8,0xEE80286A,0x44,0x7d,0xbf,,,
,113,THC,Hempcoin,,,,,0x28,0x08,0xa8,,,
,114,LINX,Linx,,,,,0x4b,,0xcb,,,
,115,ECN,Ecoin,,,,,0x5c,0x14,0xdc,,,
,116,DNR,Denarius,,,,,0x1e,0x5a,0x9e,,,
,117,PINK,Pinkcoin,,,,,0x03,0x1c,0x83,,,
,119,PIVX,Pivx,,,0x0221312B,0x022D2533,0x1e,0x0d,0xd4,,,
,120,FLASH,Flashcoin,,,,,0x44,0x82,0xc4,,,
,121,ZEN,Zencash,,,,,0x2089,0x2096,,,,
,122,PUT,Putincoin,,,,,0x37,0x14,0xb7,,,
,123,ZNY,BitZeny,,,,,,,,,,
,124,UNIFY,Unify,,,,,,,,,,
