status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,UCID,cmc_top
✅,78,EFL,Electronic Gulden,secp256k1,sha256,,,0x30,,0xb0,,,
✅,79,CLUB,ClubCoin,secp256k1,sha256,,,0x1c,0x55,0x99,,1135,
🟥,80,RICHX,RichCoin,,,,,,,,,,
✅,81,POT,Potcoin,secp256k1,sha256,,,0x37,,0xb7,,122,
🟥,82,QRK,Quarkcoin,,,,,,,,,,
🟥,83,TRC,Terracoin,,,,,,,,,,
✅,84,GRC,Gridcoin,secp256k1,sha256,,,0x3e,0x55,0xbe,,,
✅,85,AUR,Auroracoin,secp256k1,sha256,,,0x17,,0x97,,148,
✅,86,IXC,IXCoin,secp256k1,sha256,,,0x8a,,0x05,,13,
✅,87,NLG,Gulden,secp256k1,sha256,,,0x26,0x62,0x62,,,
🟥,88,BITB,BitBean,,,,,,,,,819,
✅,89,BTA,Bata,secp256k1,sha256,0xA40B91BD,0xA40C86FA,0x19,,0xa4,,945,
✅,90,XMY,Myriadcoin,secp256k1,sha256,,,0x32,0x09,0xb2,,,
✅,91,BSD,BitSend,secp256k1,sha256,,,0x66,,0xcc,,,
✅,92,UNO,Unobtanium,secp256k1,sha256,,,0x82,0x1e,0xe0,,67,
🟥,93,MTR,MasterTrader,,,,,,,,,,
🟥,94,GB,GoldBlocks,,,,,,,,,1285,
🟥,95,SHM,Saham,,,,,,,,,,
🟥,96,CRX,Chronos,,,,,,,,,,
🟥,97,BIQ,Ubiquoin,,,,,,,,,,
🟥,98,EVO,Evotion,,,,,,,,,,
🟥,99,STO,SaveTheOcean,,,,,,,,,,
🟥,100,BIGUP,BigUp,,,,,,,,,,
✅,101,GAME,GameCredits,secp256k1,sha256,,,0x26,,0xa6,,,
🟥,102,DLC,Dollarcoins,,,,,,,,,,
🟥,103,ZYD,Zayedcoin,,,,,,,,,,
🟥,104,DBIC,Dubaicoin,,,,,,,,,,
✅,105,STRAT,Stratis,secp256k1,sha256,,,0x3f,0x7d,0xbf,,,
🟥,106,SH,Shilling,,,,,,,,,,
🟥,107,MARS,MarsCoin,,,,,,,,,,
✅,108,UBQ,Ubiq,secp256k1,keccak256,,,,,,TRUE,,
